gene_name,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,IS_OUTPUT
ECMicroenv,0.3103,0.4296,0.5813,0.5112,0.1348,0.3916,0.0468,0.2485,0.6091,0.7615,0
DNAdamage,0.0558,0.3102,0.0447,0.1146,0.7204,0.5578,0.7035,0.2265,0.9983,0.4858,0
Metastasis,0.3991,0.5763,0.1667,0.4913,0.8127,0.6902,0.8299,0.7126,0.6584,0.8148,1
Migration,0.3764,0.2866,0.6331,0.0832,0.5847,0.719,0.8537,0.4013,0.8837,0.4256,1
Invasion,0.4574,0.9011,0.5359,0.8982,0.1271,0.3696,0.0424,0.3106,0.2441,0.9395,1
EMT,0.2723,0.2743,0.7644,0.2807,0.3212,0.1211,0.5381,0.2344,0.5129,0.7948,1
Apoptosis,0.7813,0.8777,0.0161,0.8472,0.9134,0.6205,0.0783,0.9093,0.657,0.935,1
CellCycleArrest,0.5712,0.2109,0.7376,0.2013,0.7956,0.6245,0.8198,0.9586,0.2291,0.3581,1
GF,0.5448,0.1844,0.0845,0.7455,0.8888,0.7344,0.9713,0.0785,0.5879,0.7506,0
TGFbeta,0.8648,0.8744,0.4515,0.3108,0.0014,0.4507,0.5559,0.7609,0.3739,0.9928,0
p21,0.7486,0.1152,0.157,0.1755,0.2617,0.9767,0.6332,0.844,0.4505,0.3059,0
CDH1,0.1249,0.0488,0.275,0.5066,0.5613,0.6968,0.3081,0.5617,0.3884,0.4909,0
CDH2,0.97,0.4604,0.4146,0.8768,0.4491,0.8387,0.0682,0.2663,0.2572,0.3018,0
VIM,0.8598,0.3239,0.7174,0.1855,0.1971,0.8734,0.7624,0.2508,0.5868,0.8375,0
TWIST1,0.4494,0.697,0.9286,0.5093,0.0394,0.5015,0.2391,0.5607,0.7579,0.8255,0
SNAI1,0.522,0.7149,0.0618,0.2439,0.3552,0.9471,0.8605,0.7033,0.6007,0.379,0
SNAI2,0.1398,0.3037,0.7386,0.0697,0.1202,0.4041,0.1324,0.0203,0.2461,0.4597,0
ZEB1,0.924,0.1456,0.4956,0.7215,0.0784,0.6835,0.5912,0.0741,0.7645,0.7847,0
ZEB2,0.0262,0.3301,0.0562,0.9698,0.7158,0.2127,0.3439,0.4903,0.3267,0.8898,0
AKT1,0.1154,0.8033,0.8909,0.0233,0.6138,0.6212,0.1242,0.3473,0.2783,0.2008,0
DKK1,0.2783,0.8913,0.103,0.2295,0.8064,0.9603,0.1738,0.8788,0.3379,0.5864,0
CTNNB1,0.6255,0.4386,0.4185,0.02,0.9657,0.132,0.7181,0.1771,0.2563,0.8579,0
NICD,0.6014,0.9698,0.3127,0.4648,0.6869,0.0508,0.7427,0.4596,0.9193,0.6586,0
p63,0.1923,0.3048,0.7346,0.9701,0.707,0.3626,0.8885,0.9316,0.8016,0.9149,0
p53,0.2574,0.7538,0.6689,0.1413,0.7686,0.6352,0.4214,0.5564,0.3462,0.6263,0
p73,0.3341,0.9491,0.87,0.0362,0.6252,0.5264,0.2326,0.9598,0.0121,0.5493,0
miR200,0.9933,0.3943,0.065,0.1108,0.2526,0.7186,0.6368,0.4658,0.032,0.0766,0
miR203,0.3941,0.8033,0.355,0.8213,0.8751,0.5689,0.3159,0.3803,0.916,0.1249,0
miR34,0.4924,0.975,0.9491,0.8207,0.634,0.2033,0.8388,0.108,0.8323,0.8356,0
AKT2,0.957,0.3181,0.5725,0.7806,0.4604,0.7056,0.0297,0.2264,0.319,0.5077,0
ERK,0.1287,0.4768,0.5236,0.8021,0.2025,0.8921,0.767,0.8507,0.435,0.1174,0
SMAD,0.9,0.714,0.844,0.193,0.5978,0.9874,0.654,0.4544,0.8788,0.9818,0
